SAMPLE_ID,식품명,지역 / 제조사,채취시기,식품상세분류,1회제공량,내용량_단위,에너지(㎉),수분(g),단백질(g),지방(g),탄수화물(g),총 식이섬유(g),칼슘(㎎),총 아미노산(g),성분표출처,발행기관
N000149-ZZ-AVG,노무라입깃해파리,전국(대표),평균,기타,100,g,6,96.9,1.3,0,0.1,-,2,-,수('2018),국립수산과학원
N000150-ZZ-AVG,녹새치,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000151-33-07,놀래기,부산,7월,어류,100,g,107,76.2,19.2,2.8,0.001,0,34,-,수('2018),국립수산과학원
N000151-33-03,놀래기,부산,3월,어류,100,g,-,-,20.5,-,-,-,-,20.1,수('2018),국립수산과학원
N000152-ZZ-AVG,농어,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000152-33-06,농어,부산,6월,어류,100,g,-,-,20.6,-,-,-,-,18.3,수('2018),국립수산과학원
N000152-02-AVG,농어,거제,평균,어류,100,g,96,78.5,18.2,1.9,0.2,0,58,-,수('2018),국립수산과학원
N000153-33-08,농어-양식산,부산,8월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000154-33-08,농어-자연산-대,부산,8월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000155-33-08,농어-자연산-소,부산,8월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000156-33-04,누루시볼락,부산,4월,어류,100,g,149,70.5,22.4,5.8,0.001,0,33,-,수('2018),국립수산과학원
N000157-77-05,누치,산청,5월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000157-33-07,누치,부산,7월,어류,100,g,105,77.8,17.3,3,0.8,0,29,-,수('2018),국립수산과학원
N000158-01-06,눈가자미,강릉,6월,어류,100,g,93,77.8,19.4,1.1,0.3,-,55,-,수('2018),국립수산과학원
N000159-92-AVG,눈강달이,서해남부-EEZ,평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000159-55-AVG,눈강달이,인천,평균,어류,100,g,109,77.8,17,3.9,0.1,0,51,-,수('2018),국립수산과학원
N000159-37-05,눈강달이,서해남부-EEZ(220),5월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000160-ZZ-AVG,눈강달이-젓갈,전국(대표),평균,수산가공품,100,g,107,57.9,14,5.1,0.3,0,110,-,수('2018),국립수산과학원
N000161-ZZ-AVG,눈다랑어,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000161-04-05,눈다랑어,고성,5월,어류,100,g,-,-,24.8,-,-,-,-,23.9,수('2018),국립수산과학원
N000162-76-07,눈볼대,사천,7월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000162-33-05,눈볼대,부산,5월,어류,100,g,144,71.2,22.3,5.3,0.001,0,29,-,수('2018),국립수산과학원
N000162-33-04,눈볼대,부산,4월,어류,100,g,-,-,16,-,-,-,-,14.3,수('2018),국립수산과학원
N000163-33-03,눈양태,부산,3월,어류,100,g,90,78,20.1,0.5,0.1,0,44,-,수('2018),국립수산과학원
N000164-33-05,눈퉁멸,부산,5월,어류,100,g,138,73.4,18.5,6.2,0.4,-,55,-,수('2018),국립수산과학원
N000164-33-04,눈퉁멸,부산,4월,어류,100,g,-,-,20,-,-,-,-,18.6,수('2018),국립수산과학원
N000165-33-07,능성어,부산,7월,어류,100,g,93,78.3,18.8,1.3,0.3,0,29,-,수('2018),국립수산과학원
N000165-10-07,능성어,기장,7월,어류,100,g,-,-,20.1,-,-,-,-,19.3,수('2018),국립수산과학원
N000166-10-07,능성어-간,기장,7월,어류,100,g,-,-,12.9,-,-,-,-,12.9,수('2018),국립수산과학원
N000167-59-04,다금바리,제주,4월,어류,100,g,100,77.5,19.3,1.9,0.1,0,68,-,수('2018),국립수산과학원
N000168-ZZ-04,다슬기,전국(대표),4월,패류,100,g,-,-,13.6,-,-,-,-,10.3,수('2018),국립수산과학원
N000168-31-11,다슬기,문경,11월,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000168-03-11,다슬기,경기,11월,패류,100,g,78,78.6,11.9,1.2,5.7,-,1117,-,수('2018),국립수산과학원
N000169-ZZ-AVG,다시마,전국(대표),평균,해조류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000169-60-AVG,다시마,주문진,평균,해조류,100,g,12,91,1.1,0.2,3.6,0.6,103,-,수('2018),국립수산과학원
N000169-53-04,다시마,완도,4월,해조류,100,g,-,-,1.5,-,-,-,-,1.1,수('2018),국립수산과학원
N000170-ZZ-AVG,다시마-소건품,전국(대표),평균,수산가공품,100,g,110,12.3,7.4,1.1,41.1,4.1,708,-,수('2018),국립수산과학원
N000170-53-10,다시마-소건품,완도,10월,수산가공품,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000171-76-06,달강어,사천,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000171-72-06,달강어,포항,6월,어류,100,g,121,74.7,19.7,4,0.1,0,46,-,수('2018),국립수산과학원
N000172-ZZ-AVG,달고기,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000172-91-AVG,달고기,남해서부-EEZ,평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000172-59-05,달고기,제주,5월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000172-33-05,달고기,부산,5월,어류,100,g,97,77.7,19.1,1.4,0.7,0,14,-,수('2018),국립수산과학원
N000172-13-10,달고기,남해동부-EEZ(99),10월,어류,100,g,-,-,18.8,-,-,-,-,16.6,수('2018),국립수산과학원
N000173-33-05,달고기-알,부산,5월,어류,100,g,115,69.6,23.4,1.6,0.2,0,10,-,수('2018),국립수산과학원
N000174-ZZ-AVG,닭게,전국(대표),평균,갑각류,100,g,69,82.3,15.2,0.5,0.1,0,95,-,수('2018),국립수산과학원
N000175-ZZ-AVG,닭새우,전국(대표),평균,갑각류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000175-72-10,닭새우,포항,10월,갑각류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000175-33-05,닭새우,부산,5월,갑각류,100,g,88,79.1,17,1.2,1.3,0,68,-,수('2018),국립수산과학원
N000175-10-07,닭새우,기장,7월,갑각류,100,g,-,-,14.5,-,-,-,-,14.5,수('2018),국립수산과학원
N000176-ZZ-AVG,대게,전국(대표),평균,갑각류,100,g,85,79.7,17.4,1,0.5,-,158,-,수('2018),국립수산과학원
N000176-50-09,대게,영덕,9월,갑각류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000177-ZZ-AVG,대게-자건품,전국(대표),평균,수산가공품,100,g,314,18.2,66.7,2.6,2,0,669,-,수('2018),국립수산과학원
N000178-ZZ-AVG,대구,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000178-33-05,대구,부산,5월,어류,100,g,86,78.6,19.5,0.3,0.3,0,35,-,수('2018),국립수산과학원
N000178-33-03,대구,부산,3월,어류,100,g,-,-,16.1,-,-,-,-,15.8,수('2018),국립수산과학원
N000179-ZZ-AVG,대구-소건품,전국(대표),평균,수산가공품,100,g,312,21.9,65.4,3,1.8,0,184,-,수('2018),국립수산과학원
N000179-33-07,대구-소건품,부산,7월,수산가공품,100,g,-,-,55,-,-,-,-,53.5,수('2018),국립수산과학원
N000179-02-10,대구-소건품,거제,10월,수산가공품,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000180-33-05,대구-수컷,부산,5월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000180-33-03,대구-수컷,부산,3월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000180-33-01,대구-수컷,부산,1월,어류,100,g,83,79.6,18.2,0.4,0.4,-,33,15.6,수('2018),국립수산과학원
N000181-33-05,대구-수컷-간,부산,5월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000182-02-10,대구-수컷-근육,거제,10월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000183-02-10,대구-수컷-내장,거제,10월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000184-ZZ-AVG,대구-알,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000184-33-09,대구-알,부산,9월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000184-02-10,대구-알,거제,10월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000185-33-09,대구-암컷,부산,9월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000185-33-01,대구-암컷,부산,1월,어류,100,g,69,82.5,15.4,0.3,0.3,-,29,15.4,수('2018),국립수산과학원
N000186-02-10,대구-암컷-근육,거제,10월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000187-02-10,대구-암컷-내장,거제,10월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000188-70-06,대구-조미건품(포),"통영,알래스카산",6월,수산가공품,100,g,305,24.4,54.2,2.1,14.6,-,82,52.5,수('2018),국립수산과학원
N000190-ZZ-AVG,대구횟대,전국(대표),평균,어류,100,g,93,77.2,19.5,0.9,0.5,-,92,-,수('2018),국립수산과학원
N000191-ZZ-AVG,대두어,전국(대표),평균,어류,100,g,96,78.6,17.5,2.1,0.5,0,47,-,수('2018),국립수산과학원
N000192-ZZ-AVG,대문어,전국(대표),평균,두족류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000192-33-05,대문어,부산,5월,두족류,100,g,58,85.4,12.2,0.6,0.3,-,21,-,수('2018),국립수산과학원
N000192-33-03,대문어,부산,3월,두족류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000193-70-05,대문어-내장,"통영,알래스카산",5월,두족류,100,g,-,-,16.8,-,-,-,-,13.6,수('2018),국립수산과학원
N000194-70-05,대문어-몸통,"통영,알래스카산",5월,두족류,100,g,-,-,14.3,-,-,-,-,10.4,수('2018),국립수산과학원
N000195-ZZ-AVG,대문어-소건품,전국(대표),평균,수산가공품,100,g,348,13.8,72,3.1,3.6,0,115,-,수('2018),국립수산과학원
N000196-33-07,대수리,부산,7월,패류,100,g,112,74.3,18.8,2.6,1.9,0,187,-,수('2018),국립수산과학원
N000197-ZZ-AVG,대하,전국(대표),평균,갑각류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000197-55-AVG,대하,인천,평균,갑각류,100,g,82,80,18.1,0.6,0.1,0,74,-,수('2018),국립수산과학원
N000197-33-11,대하,부산,11월,갑각류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000197-10-06,대하,기장,6월,갑각류,100,g,-,-,21.6,-,-,-,-,21.2,수('2018),국립수산과학원
N000198-ZZ-AVG,대황-소건품,전국(대표),평균,수산가공품,100,g,145,11.3,7.3,0.2,54.5,10,811,-,수('2018),국립수산과학원
N000199-33-06,덕대,부산,6월,어류,100,g,-,-,15.6,-,-,-,-,15.3,수('2018),국립수산과학원
N000200-33-06,덕대-알,부산,6월,어류,100,g,-,-,22.3,-,-,-,-,20.2,수('2018),국립수산과학원
N000201-ZZ-AVG,도다리,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000201-ZZ-06,도다리,전국(대표),6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000201-45-06,도다리,여수,6월,어류,100,g,78,80.3,17.6,0.2,0.5,0,22,-,수('2018),국립수산과학원
N000201-33-06,도다리,부산,6월,어류,100,g,-,-,19.9,-,-,-,-,16.3,수('2018),국립수산과학원
N000202-45-06,도도바리,여수,6월,어류,100,g,95,77.6,19.4,1.2,0.5,-,66,-,수('2018),국립수산과학원
N000203-33-06,도루묵,부산,6월,어류,100,g,-,-,14.9,-,-,-,-,13.4,수('2018),국립수산과학원
N000203-33-05,도루묵,부산,5월,어류,100,g,113,77.7,16,4.6,0.5,0,18,-,수('2018),국립수산과학원
N000204-33-08,도화돔,부산,8월,어류,100,g,130,73.3,21.3,4.3,0.001,0,40,-,수('2018),국립수산과학원
N000205-33-06,도화양태,부산,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000205-33-04,도화양태,부산,4월,어류,100,g,77,81.2,16.9,0.5,0.3,0,38,-,수('2018),국립수산과학원
N000206-59-09,독가시치,제주,9월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000206-33-07,독가시치,부산,7월,어류,100,g,97,77.1,20.3,1.2,0.001,0,34,-,수('2018),국립수산과학원
N000207-33-07,독돔,부산,7월,어류,100,g,97,76.6,20.8,0.9,0.2,0,51,-,수('2018),국립수산과학원
N000208-55-07,돌가자미,인천,7월,어류,100,g,90,78,20,0.6,0.001,0,11,-,수('2018),국립수산과학원
N000208-33-03,돌가자미,부산,3월,어류,100,g,-,-,21.5,-,-,-,-,21.2,수('2018),국립수산과학원
N000209-33-05,돌가자미-소건품,부산,5월,수산가공품,100,g,107,75.2,20.7,1.4,1.4,-,23,16.2,수('2018),국립수산과학원
N000210-77-05,돌고기,산청,5월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000211-ZZ-AVG,돌돔,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000211-45-06,돌돔,여수,6월,어류,100,g,86,79.5,17.8,1,0.4,0,57,-,수('2018),국립수산과학원
N000211-33-06,돌돔,부산,6월,어류,100,g,-,-,20.3,-,-,-,-,18.3,수('2018),국립수산과학원
N000212-70-08,돌돔-양식산,"통영,알래스카산",8월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000213-33-09,돌돔-자연산,부산,9월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000214-45-09,돔발상어,여수,9월,어류,100,g,85,80,17.9,1,0.001,-,72,-,수('2018),국립수산과학원
N000215-45-09,돔발상어-알,여수,9월,어류,100,g,329,50,25,23.5,0.5,-,0,-,수('2018),국립수산과학원
N000216-55-07,동갈돗돔,인천,7월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000217-33-05,동갈치,부산,5월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000217-25-10,동갈치,대구,10월,어류,100,g,97,77.9,19.8,1.3,0.001,0,72,-,수('2018),국립수산과학원
N000218-65-04,동남참게,청평,4월,갑각류,100,g,125,72.4,13.2,3,9.8,-,236,13.6,수('2018),국립수산과학원
N000219-33-06,동동갈치,부산,6월,어류,100,g,121,74.6,20,3.9,0.001,0,38,-,수('2018),국립수산과학원
N000220-33-10,동사리,부산,10월,어류,100,g,81,81.1,16.9,1,0.001,0,20,-,수('2018),국립수산과학원
N000221-65-AVG,동자개,청평,평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000221-65-08,동자개,청평,8월,어류,100,g,-,-,17,-,-,-,-,15.2,수('2018),국립수산과학원
N000221-33-10,동자개,부산,10월,어류,100,g,81,81.6,15.7,1.6,0.001,0,36,-,수('2018),국립수산과학원
N000222-65-06,동자개-알,청평,6월,어류,100,g,-,-,25.5,-,-,-,-,23.1,수('2018),국립수산과학원
N000223-65-AVG,동자개-양식산,청평,평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000224-65-AVG,동자개-자연산,청평,평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000225-84-04,동죽,고창,4월,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000225-55-AVG,동죽,인천,평균,패류,100,g,69,82.7,11.8,1.6,0.9,0,90,-,수('2018),국립수산과학원
N000225-42-11,동죽,안산,11월,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000225-42-06,동죽,안산,6월,패류,100,g,-,-,11.6,-,-,-,-,9.9,수('2018),국립수산과학원
N000226-01-06,돛양태,강릉,6월,어류,100,g,81,79.5,18.5,0.1,0.6,-,40,-,수('2018),국립수산과학원
N000227-33-05,두드럭고둥,부산,5월,패류,100,g,89,77,14.2,0.7,5.5,-,68,-,수('2018),국립수산과학원
N000228-ZZ-AVG,두툽상어,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000228-33-05,두툽상어,부산,5월,어류,100,g,94,76.6,21.4,0.3,0.3,0,22,-,수('2018),국립수산과학원
N000228-16-10,두툽상어,남해서부-EEZ(222),10월,어류,100,g,-,-,23.4,-,-,-,-,21.1,수('2018),국립수산과학원
N000229-33-05,두툽상어-간,부산,5월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000230-34-10,둑중개,부산(낙동강),10월,어류,100,g,104,78.2,15,4.2,0.2,0,520,-,수('2018),국립수산과학원
N000231-ZZ-AVG,둥근돌김-소건품,전국(대표),평균,수산가공품,100,g,168,10.4,35.5,1.7,43.3,1.3,412,-,수('2018),국립수산과학원
N000232-45-03,둥근전복,여수,3월,패류,100,g,85,78.4,14.3,0.7,4.5,0,52,-,수('2018),국립수산과학원
N000233-25-10,드렁허리,대구,10월,어류,100,g,92,79.4,17.9,1.7,0.001,0,72,-,수('2018),국립수산과학원
N000234-76-06,등가시치,사천,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000234-33-05,등가시치,부산,5월,어류,100,g,79,80.3,18.5,0.1,0.001,0,24,-,수('2018),국립수산과학원
N000234-33-03,등가시치,부산,3월,어류,100,g,-,-,19.8,-,-,-,-,18.8,수('2018),국립수산과학원
N000235-65-AVG,떡붕어,청평,평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000235-65-10,떡붕어,청평,10월,어류,100,g,96,78.4,18.1,2,0.1,-,14,-,수('2018),국립수산과학원
N000235-65-02,떡붕어,청평,2월,어류,100,g,-,-,17.7,-,-,-,-,16.8,수('2018),국립수산과학원
N000236-65-05,떡붕어-알,청평,5월,어류,100,g,-,-,25.7,-,-,-,-,22.7,수('2018),국립수산과학원
N000236-65-02,떡붕어-알,청평,2월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000237-76-03,떡조개,사천,3월,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000237-33-04,떡조개,부산,4월,패류,100,g,87,78.3,11.2,1,7.4,0,104,-,수('2018),국립수산과학원
N000238-33-05,또아리물레고둥,부산,5월,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000239-ZZ-AVG,뜸부기-소건품,전국(대표),평균,수산가공품,100,g,128,18.1,6.1,2.5,46.8,5.3,1090,-,수('2018),국립수산과학원
N000240-65-11,띠구슬다슬기,청평,11월,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000240-03-11,띠구슬다슬기,경기,11월,패류,100,g,117,70.1,16.9,0.6,9.8,-,469,-,수('2018),국립수산과학원
N000241-61-04,마디잘록이,진도,4월,해조류,100,g,-,-,6.4,-,-,-,-,5.6,수('2018),국립수산과학원
N000242-33-11,만새기,부산,11월,어류,100,g,-,-,21.8,-,-,-,-,20.8,수('2018),국립수산과학원
N000242-33-05,만새기,부산,5월,어류,100,g,66,84.3,13.3,1.1,0.001,-,0,-,수('2018),국립수산과학원
N000243-76-03,말똥성게,사천,3월,기타,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000244-33-04,말미잘,부산,4월,기타,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000244-10-06,말미잘,기장,6월,기타,100,g,-,-,12.7,-,-,-,-,9.5,수('2018),국립수산과학원
N000245-33-05,말백합,부산,5월,패류,100,g,58,84.3,10.1,0.5,2.5,-,92,-,수('2018),국립수산과학원
N000246-59-03,말전복,제주,3월,패류,100,g,77,80.3,12.8,0.8,3.8,0,51,-,수('2018),국립수산과학원
N000246-33-03,말전복,부산,3월,패류,100,g,-,-,13.5,-,-,-,-,13.2,수('2018),국립수산과학원
N000247-65-12,말쥐치,청평,12월,어류,100,g,-,-,18.4,-,-,-,-,17.9,수('2018),국립수산과학원
N000247-45-10,말쥐치,여수,10월,어류,100,g,-,-,17.9,-,-,-,-,17.6,수('2018),국립수산과학원
N000247-45-06,말쥐치,여수,6월,어류,100,g,80,79.9,17.9,0.2,0.6,0,20,-,수('2018),국립수산과학원
N000247-33-09,말쥐치,부산,9월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000248-ZZ-AVG,말쥐치-조미건품,전국(대표),평균,수산가공품,100,g,325,18.6,38.7,2.2,34.3,0,154,-,수('2018),국립수산과학원
N000249-42-06,맛조개,안산,6월,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000249-42-05,맛조개,안산,5월,패류,100,g,-,-,12,-,-,-,-,9.8,수('2018),국립수산과학원
N000250-45-06,망상어,여수,6월,어류,100,g,89,78.5,18.9,0.9,0.2,-,44,-,수('2018),국립수산과학원
N000250-33-03,망상어,부산,3월,어류,100,g,-,-,18.9,-,-,-,-,18.9,수('2018),국립수산과학원
N000251-45-06,매끈이고둥,여수,6월,패류,100,g,108,72.6,22.5,0.4,2.3,-,97,-,수('2018),국립수산과학원
N000251-10-07,매끈이고둥,기장,7월,패류,100,g,-,-,19.5,-,-,-,-,18.4,수('2018),국립수산과학원
N000252-45-06,매리복,여수,6월,어류,100,g,88,77.9,19.8,0.3,0.4,-,7,-,수('2018),국립수산과학원
N000252-33-10,매리복,부산,10월,어류,100,g,-,-,19.8,-,-,-,-,18.1,수('2018),국립수산과학원
N000253-ZZ-AVG,매생이,전국(대표),평균,해조류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000253-53-01,매생이,완도,1월,해조류,100,g,-,-,4.2,-,-,-,-,4.1,수('2018),국립수산과학원
N000254-ZZ-AVG,매생이-소건품,전국(대표),평균,수산가공품,100,g,125,15.6,20.6,0.5,35.4,-,574,-,수('2018),국립수산과학원
N000255-72-05,매오징어,포항,5월,두족류,100,g,80,81.1,14,1.4,1.8,-,19,10.2,수('2018),국립수산과학원
N000256-33-10,매퉁이,부산,10월,어류,100,g,-,-,19.5,-,-,-,-,19.5,수('2018),국립수산과학원
N000256-33-05,매퉁이,부산,5월,어류,100,g,93,77.1,20.8,0.5,0.1,0,52,-,수('2018),국립수산과학원
N000256-23-03,매퉁이,남해중부-EEZ(113),3월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000257-33-07,맵사리,부산,7월,패류,100,g,-,-,19.6,-,-,-,-,19.5,수('2018),국립수산과학원
N000258-ZZ-AVG,먹장어,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000258-33-07,먹장어,부산,7월,어류,100,g,-,-,13.3,-,-,-,-,12.1,수('2018),국립수산과학원
N000258-33-05,먹장어,부산,5월,어류,100,g,129,75.3,16.9,6,0.4,-,11,-,수('2018),국립수산과학원
N000259-33-03,먹장어-껍질,부산,3월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000260-33-05,먹장어-전어체,부산,5월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000261-ZZ-AVG,멍게,전국(대표),평균,기타,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000261-70-03,멍게,"통영,알래스카산",3월,기타,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000261-33-04,멍게,부산,4월,기타,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000261-10-06,멍게,기장,6월,기타,100,g,-,-,7,-,-,-,-,5.5,수('2018),국립수산과학원
N000262-33-10,메기,부산,10월,어류,100,g,114,78.4,15.1,5.3,0.1,0,26,-,수('2018),국립수산과학원
N000263-65-AVG,메기-자연산,청평,평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000263-65-05,메기-자연산,청평,5월,어류,100,g,-,-,17,-,-,-,-,14.6,수('2018),국립수산과학원
N000263-33-06,메기-자연산,부산,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000264-ZZ-AVG,멸치,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000264-33-09,멸치,부산,9월,어류,100,g,127,73.4,17.7,5.4,0.3,0,496,-,수('2018),국립수산과학원
N000264-33-04,멸치,부산,4월,어류,100,g,-,-,17.5,-,-,-,-,16.1,수('2018),국립수산과학원
N000265-33-09,멸치-근육,부산,9월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000266-70-06,멸치-소건품-대멸,"통영,알래스카산",6월,수산가공품,100,g,333,25.3,50.9,12.2,0.7,-,1506,48.4,수('2018),국립수산과학원
N000267-70-06,멸치-소건품-소멸,"통영,알래스카산",6월,수산가공품,100,g,334,19.9,54.9,10.7,0.4,-,1654,53.2,수('2018),국립수산과학원
N000268-70-06,멸치-소건품-자멸,"통영,알래스카산",6월,수산가공품,100,g,285,30.4,46.5,9.2,0.6,-,1272,45.7,수('2018),국립수산과학원
N000269-70-06,멸치-소건품-중멸,"통영,알래스카산",6월,수산가공품,100,g,341,20.5,54.3,11.7,0.3,-,1385,52.8,수('2018),국립수산과학원
N000270-11-05,멸치-알,기장(대변항),5월,어류,100,g,-,-,24.9,-,-,-,-,19.8,수('2018),국립수산과학원
N000271-ZZ-AVG,멸치-액젓,전국(대표),평균,수산가공품,100,g,39,68.1,8.6,0.1,0.001,0,730,-,수('2018),국립수산과학원
N000271-70-06,멸치-액젓,"통영,알래스카산",6월,수산가공품,100,g,-,-,8.6,-,-,-,-,8.2,수('2018),국립수산과학원
N000272-70-06,멸치-자건품-대멸,"통영,알래스카산",6월,수산가공품,100,g,-,-,51.5,-,-,-,-,51,수('2018),국립수산과학원
N000272-33-11,멸치-자건품-대멸,부산,11월,수산가공품,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000272-33-09,멸치-자건품-대멸,부산,9월,수산가공품,100,g,303,26.2,47.4,9.8,2.5,0,1905,-,수('2018),국립수산과학원
N000272-33-05,멸치-자건품-대멸,부산,5월,수산가공품,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000273-33-09,멸치-자건품-세멸,부산,9월,수산가공품,100,g,239,36.8,42.4,6,0.9,0,902,-,수('2018),국립수산과학원
N000274-70-06,멸치-자건품-소멸,"통영,알래스카산",6월,수산가공품,100,g,-,-,54.9,-,-,-,-,50.6,수('2018),국립수산과학원
N000275-70-06,멸치-자건품-중멸,"통영,알래스카산",6월,수산가공품,100,g,-,-,54.3,-,-,-,-,50.5,수('2018),국립수산과학원
N000275-33-09,멸치-자건품-중멸,부산,9월,수산가공품,100,g,232,35,38.9,5.1,4.8,0,1290,-,수('2018),국립수산과학원
N000276-ZZ-AVG,멸치-자건품-혼합,전국(대표),평균,수산가공품,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000277-33-04,멸치-전어체,부산,4월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000278-40-06,멸치-젓갈,신안,6월,수산가공품,100,g,118,57.7,14,6.3,0.001,-,874,12.8,수('2018),국립수산과학원
N000278-33-04,멸치-젓갈,부산,4월,수산가공품,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000279-ZZ-AVG,명태,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
