SAMPLE_ID,식품명,지역 / 제조사,채취시기,식품상세분류,1회제공량,내용량_단위,에너지(㎉),수분(g),단백질(g),지방(g),탄수화물(g),총 식이섬유(g),칼슘(㎎),총 아미노산(g),성분표출처,발행기관
N000725-33-05,멍게(우렁쉥이)-국내산,부산,5월,기타,100,g,40,87.7,6.7,0.6,1.6,0,49,-,수('2018),국립수산과학원
N000726-ZZ-AVG,멍게(우렁쉥이)-내장,전국(대표),평균,기타,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000727-58-05,멍게(우렁쉥이)-수입산,일본산,5월,기타,100,g,64,84.9,8.4,1.9,2.5,-,32,-,수('2018),국립수산과학원
N000727-33-05,멍게(우렁쉥이)-수입산,부산,5월,기타,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000728-ZZ-AVG,멍게(우렁쉥이)-육질부,전국(대표),평균,기타,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000729-65-08,메기-알,청평,8월,어류,100,g,-,-,26.2,-,-,-,-,21.1,수('2018),국립수산과학원
N000730-65-AVG,메기-양식산,청평,평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000730-65-04,메기-양식산,청평,4월,어류,100,g,-,-,17.6,-,-,-,-,16.1,수('2018),국립수산과학원
N000730-33-06,메기-양식산,부산,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000731-ZZ-AVG,보라성게-알젓,전국(대표),평균,수산가공품,100,g,150,61.2,18.3,4.5,7.3,0,44,-,수('2018),국립수산과학원
N000732-ZZ-AVG,북방전복,전국(대표),평균,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000732-45-03,북방전복,여수,3월,패류,100,g,91,77.2,15,0.7,5.1,0,49,-,수('2018),국립수산과학원
N000732-33-11,북방전복,부산,11월,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000732-10-07,북방전복,기장,7월,패류,100,g,-,-,16.5,-,-,-,-,15.4,수('2018),국립수산과학원
N000733-33-11,살오징어-간,부산,11월,두족류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000733-33-03,살오징어-간,부산,3월,두족류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000734-33-04,새우젓(새우류)-젓갈,부산,4월,수산가공품,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000735-70-06,연어-수입산 통조림(조미),"통영,알래스카산",6월,수산가공품,100,g,-,-,9.5,-,-,-,-,9,수('2018),국립수산과학원
N000736-70-03,오만둥이,"통영,알래스카산",3월,기타,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000736-33-05,오만둥이,부산,5월,기타,100,g,54,84.7,9,0.7,2.3,-,89,5.4,수('2018),국립수산과학원
N000737-ZZ-AVG,참갑오징어,전국(대표),평균,두족류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000737-45-06,참갑오징어,여수,6월,두족류,100,g,76,80.6,17.3,0.2,0.2,-,13,-,수('2018),국립수산과학원
N000737-33-05,참갑오징어,부산,5월,두족류,100,g,-,-,17.4,-,-,-,-,13.7,수('2018),국립수산과학원
N000737-33-04,참갑오징어,부산,4월,두족류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000738-ZZ-AVG,참갑오징어-소건품,전국(대표),평균,수산가공품,100,g,339,18.5,66.8,4.7,3.2,0,137,-,수('2018),국립수산과학원
N000739-33-07,참꼴뚜기,부산,7월,두족류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000739-33-02,참꼴뚜기,부산,2월,두족류,100,g,78,81.6,13.6,1.8,1,0,48,-,수('2018),국립수산과학원
N000740-ZZ-AVG,참꼴뚜기-자건품,전국(대표),평균,수산가공품,100,g,286,27.2,51.3,6.6,1.7,0,505,-,수('2018),국립수산과학원
N000740-33-07,참꼴뚜기-자건품,부산,7월,수산가공품,100,g,-,-,51.3,-,-,-,-,50,수('2018),국립수산과학원
N000741-ZZ-AVG,참꼴뚜기-젓갈,전국(대표),평균,수산가공품,100,g,88,57.2,16,2,0.3,0,110,-,수('2018),국립수산과학원
N000742-ZZ-AVG,참담치(홍합)-자건품,전국(대표),평균,패류,100,g,391,12.9,56.1,10.2,14.1,0,225,55.3,수('2018),국립수산과학원
N000743-ZZ-AVG,참담치(홍합)-자숙품,전국(대표),평균,패류,100,g,-,-,19.2,-,-,-,-,19,수('2018),국립수산과학원
N000744-ZZ-AVG,참도박,전국(대표),평균,해조류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000744-33-03,참도박,부산,3월,해조류,100,g,-,-,13.9,-,-,-,-,13.9,수('2018),국립수산과학원
N000745-72-03,참문어,포항,3월,두족류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000745-45-06,참문어,여수,6월,두족류,100,g,56,84.4,12.7,0.2,0.1,-,23,-,수('2018),국립수산과학원
N000745-33-04,참문어,부산,4월,두족류,100,g,-,-,12.9,-,-,-,-,10.2,수('2018),국립수산과학원
N000746-ZZ-AVG,철모새우,전국(대표),평균,갑각류,100,g,90,77.9,18.5,0.9,0.9,-,338,-,수('2018),국립수산과학원
N000747-70-05,청해삼,"통영,알래스카산",5월,기타,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000748-10-06,치어,기장,6월,어류,100,g,-,-,15.6,-,-,-,-,13.7,수('2018),국립수산과학원
N000749-70-08,피조개-근육,"통영,알래스카산",8월,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000750-ZZ-AVG,해삼-소건품,전국(대표),평균,수산가공품,100,g,348,1.5,77.6,0.9,3,0,1384,-,수('2018),국립수산과학원
N000751-65-12,향어(이스라엘잉어)-알,청평,12월,어류,100,g,-,-,25.8,-,-,-,-,22.3,수('2018),국립수산과학원
N000752-83-10,홍해삼,독도,10월,해조류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000753-ZZ-AVG,화살꼴뚜기,전국(대표),평균,두족류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000753-33-10,화살꼴뚜기,부산,10월,두족류,100,g,-,-,15,-,-,-,-,14.5,수('2018),국립수산과학원
N000754-40-06,황석어(강달이류)-젓갈,신안,6월,수산가공품,100,g,88,62.8,12,3.8,0.4,-,279,-,수('2018),국립수산과학원
N000755-72-10,흑해삼,포항,10월,해조류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000755-72-03,흑해삼,포항,3월,해조류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000756-72-10,흑해삼-창자,포항,10월,해조류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000757-ZZ-AVG,젓새우-백하젓,전국(대표),평균,수산가공품,100,g,55,60.7,10.4,0.9,0.7,0,871,-,수('2018),국립수산과학원
